Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Range_km,Efficiency_Wh_km,TopSpeed_kmh,Accel_sec,Cost_per_100km_EUR,Efficiency_Rating,Range_Category,Annual_Savings_EUR,Value_Score
Audi e-tron GT quattro,Battery Electric Vehicle |       85 kWh,4.1 sec,245 km/h,420 km,202 Wh/km,840 km/h,All Wheel Drive,4,"€99,800","£79,900",420.0,202.0,245.0,4.1,6.06,Average,Ultra-Long (>400km),1000.8,20.79
Volvo C40 Recharge,Battery Electric Vehicle |       75 kWh,4.7 sec,180 km/h,340 km,221 Wh/km,440 km/h,All Wheel Drive,5,"€62,050","£57,400",340.0,221.0,180.0,4.7,6.63,Average,Long (300-400km),932.4,15.38
Hyundai Kona Electric 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.9 sec,155 km/h,250 km,157 Wh/km,210 km/h,Front Wheel Drive,5,"€35,650","£27,950",250.0,157.0,155.0,9.9,4.71,Good,Medium (200-300km),1162.8,15.92
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 km/h,395 km,162 Wh/km,370 km/h,Front Wheel Drive,5,"€41,850","£32,550",395.0,162.0,167.0,7.9,4.86,Good,Long (300-400km),1144.8,24.38
Porsche Taycan 4S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,4.1 sec,240 km/h,405 km,207 Wh/km,850 km/h,All Wheel Drive,4,"€111,842","£87,820",405.0,207.0,240.0,4.1,6.21,Average,Ultra-Long (>400km),982.8,19.57
Porsche Taycan Turbo Cross Turismo,Battery Electric Vehicle |       83.7 kWh,3.3 sec,250 km/h,385 km,217 Wh/km,800 km/h,All Wheel Drive,4,"€154,444","£116,950",385.0,217.0,250.0,3.3,6.51,Average,Long (300-400km),946.8,17.74
Porsche Taycan Turbo S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,2.9 sec,250 km/h,380 km,220 Wh/km,790 km/h,All Wheel Drive,4,"€187,746","£139,910",380.0,220.0,250.0,2.9,6.6,Average,Long (300-400km),936.0,17.27
Kia EV6 GT,Battery Electric Vehicle |       77.4 kWh,3.5 sec,260 km/h,395 km,196 Wh/km,920 km/h,All Wheel Drive,5,"€65,990","£58,295",395.0,196.0,260.0,3.5,5.88,Good,Long (300-400km),1022.4,20.15
BMW iX xDrive40,Battery Electric Vehicle |       71 kWh,6.1 sec,200 km/h,350 km,203 Wh/km,470 km/h,All Wheel Drive,5,"€77,300","£69,905",350.0,203.0,200.0,6.1,6.09,Average,Long (300-400km),997.2,17.24
BMW iX xDrive50,Battery Electric Vehicle |       105.2 kWh,4.6 sec,200 km/h,505 km,208 Wh/km,620 km/h,All Wheel Drive,5,"€98,000","£91,905",505.0,208.0,200.0,4.6,6.24,Average,Ultra-Long (>400km),979.2,24.28
